"Stock","yr","ct","bt",,,,,,,
"Athe_boy_AD",1998,1084,"NA",,,,,,,
"Athe_boy_AD",1999,850,"NA",,,,,,,
"Athe_boy_AD",2000,647,"NA",,,,,,,
"Athe_boy_AD",2001,497,"NA",,,,,,,
"Athe_boy_AD",2002,507,"NA",,,,,,,
"Athe_boy_AD",2003,705,"NA",,,,,,,
"Athe_boy_AD",2004,668,"NA",,,,,,,
"Athe_boy_AD",2005,1048,"NA",,,,,,,
"Athe_boy_AD",2006,1239,"NA",,,,,,,
"Athe_boy_AD",2007,900,"NA",,,,,,,
"Athe_boy_AD",2008,930,"NA",,,,,,,
"Athe_boy_AD",2009,1183,"NA",,,,,,,
"Athe_boy_AD",2010,687,"NA",,,,,,,
"Athe_boy_AD",2011,692,"NA",,,,,,,
"Athe_boy_AD",2012,553,"NA",,,,,,,
"Athe_boy_AD",2013,375,"NA",,,,,,,
"Athe_boy_AD",2014,348,"NA",,,,,,,
"Athe_boy_AD",2015,"NA","NA",,,,,,,
"Belo_bel_AD",1998,95,"NA",,,,,,,
"Belo_bel_AD",1999,67,"NA",,,,,,,
"Belo_bel_AD",2000,50,"NA",,,,,,,
"Belo_bel_AD",2001,38,"NA",,,,,,,
"Belo_bel_AD",2002,21,"NA",,,,,,,
"Belo_bel_AD",2003,25,"NA",,,,,,,
"Belo_bel_AD",2004,22,"NA",,,,,,,
"Belo_bel_AD",2005,82,"NA",,,,,,,
"Belo_bel_AD",2006,58,"NA",,,,,,,
"Belo_bel_AD",2007,65,"NA",,,,,,,
"Belo_bel_AD",2008,16,"NA",,,,,,,
"Belo_bel_AD",2009,28,"NA",,,,,,,
"Belo_bel_AD",2010,12,"NA",,,,,,,
"Belo_bel_AD",2011,6,"NA",,,,,,,
"Belo_bel_AD",2012,4,"NA",,,,,,,
"Belo_bel_AD",2013,5,"NA",,,,,,,
"Belo_bel_AD",2014,4,"NA",,,,,,,
"Belo_bel_AD",2015,"NA","NA",,,,,,,